    0.400314617156982422E+01    0.150758242607116699E+01    0.855891716575724125E+10    0.170473512255553992E+02    0.163066107034683244E-01    0.642856240272521973E+00   -0.137626332899294998E+08   -0.621460743175560815E+01    1
    0.473482799530029297E+01    0.122400379180908203E+01    0.745237029302853870E+10    0.247277364786984366E+01    0.205144324898719782E+00    0.778814002871513367E+00   -0.123050928397168182E+08   -0.621660743175561681E+01    1
    0.553732872009277344E+01   -0.183270597457885742E+01    0.620155692246576691E+10    0.464055843969445464E-01    0.199195451736450202E+00    0.735357767343521096E+00   -0.122238747523848414E+08   -0.621860743175561392E+01    1
    0.721785640716552734E+01   -0.151397824287414551E+01    0.779029027660428238E+10    0.546092538352301199E+04    0.175596251487731919E+00    0.650302293896675154E+00   -0.106898021844832730E+08   -0.622060743175561814E+01    1
    0.717912769317626953E+01   -0.186408329010009766E+01    0.626152290511973286E+10    0.138543604500930395E+01    0.425165206193923936E-01    0.723721167445182778E+00   -0.783665815115563106E+07   -0.622260743175562414E+01    1
    0.423021030426025391E+01   -0.142388939857482910E+01    0.634194179566586876E+10    0.449887151346559988E+00    0.136423126459121691E+00    0.357199895381927479E+00   -0.716190026919724885E+07   -0.622460743175562925E+01    1
    0.711296558380126953E+01    0.519989967346191406E+00    0.906118568025144958E+10    0.364952922259542333E+03    0.999095076322555481E-01    0.531245049834251359E+00   -0.653598707965666708E+07   -0.622660743175562548E+01    1
    0.483572196960449219E+01    0.140552496910095215E+01    0.692302707442983437E+10    0.799056227582939593E+00    0.244603954553604119E+00    0.278907358646392822E+00   -0.577550316825065482E+07   -0.622860743175562526E+01    1
    0.815040874481201172E+01    0.929008722305297852E+00    0.992996063709404373E+10    0.287992134496855260E+04    0.363360756635665860E-01    0.485654187202453569E+00   -0.570818529947120044E+07   -0.623060743175562948E+01    1
    0.452853202819824219E+01   -0.127059507369995117E+01    0.581851916966280460E+10    0.252580164595586950E+03    0.551724195480346666E-01    0.398981407284736633E+00   -0.486693646503893193E+07   -0.623260743175562393E+01    1
    0.777793979644775391E+01   -0.135061430931091309E+01    0.680488660051131153E+10    0.265631898498376096E+02    0.261195398569107062E+00    0.304710763692855824E+00   -0.485534479284050222E+07   -0.623460743175563081E+01    1
    0.114324798583984375E+02   -0.189901876449584961E+01    0.584530689445372200E+10    0.212533292390490632E-01    0.240181982517242432E+00    0.785536056756973244E+00   -0.458112368374757003E+07   -0.623660743175562082E+01    1
    0.111950178146362305E+02   -0.178810071945190430E+01    0.621382533139225674E+10    0.200341612020091553E+02    0.264769804477691661E-01    0.805283820629119851E+00   -0.423706249472407810E+07   -0.623860743175562416E+01    1
    0.472762203216552734E+01    0.178985929489135742E+01    0.413336201364977789E+10    0.340666649293297553E+03    0.180500346422195423E+00    0.761265531182289124E+00   -0.402694733652962092E+07   -0.624060743175563726E+01    1
    0.936331653594970703E+01   -0.123521566390991211E+01    0.560753387592755699E+10    0.715703251516728196E+05    0.125530678629875186E+00    0.834911978244781472E+00   -0.395999531399231916E+07   -0.624260743175562549E+01    1
    0.187689161300659180E+02   -0.197509932518005371E+01    0.897880828238731766E+10    0.771472198570349121E+02    0.181926214694976801E+00    0.487762936949729886E+00   -0.367230938955058390E+07   -0.624460743175562794E+01    1
    0.132380142211914062E+02    0.199182152748107910E+01    0.813298457280112457E+10    0.357970463225273861E+02    0.510973471403121937E-01    0.598535746335983276E+00   -0.320950503060672339E+07   -0.624660743175561439E+01    1
    0.578436660766601562E+01    0.935986280441284180E+00    0.469015464259609032E+10    0.337980205275760497E+02    0.262739913463592545E+00    0.575131064653396584E+00   -0.284219876212344225E+07   -0.624860743175559463E+01    1
    0.168600559234619141E+02   -0.778427362442016602E+00    0.863417574563980103E+10    0.135701103642815717E+02    0.205894526243209836E+00    0.599783238768577642E+00   -0.247331522270099446E+07   -0.625060743175561750E+01    1
    0.118254594802856445E+02   -0.131050896644592285E+01    0.813548080039790535E+10    0.118366524418426437E-01    0.117211258411407462E+00    0.224368423223495483E+00   -0.235285440583442245E+07   -0.625260743175562173E+01    1
    0.159774942398071289E+02    0.160847520828247070E+01    0.974732401061744118E+10    0.717253173846073677E+00    0.236946269273757920E+00    0.273970615863800060E+00   -0.225301613288232172E+07   -0.625460743175560463E+01    1
