    0.374947538362176565E+05    0.883187213399956539E+00   -0.122611610648388432E+02
    0.374932601888806967E+05    0.881478287065002752E+00   -0.116801260750372826E+02
    0.374266191819398082E+05    0.879283145085308582E+00   -0.107246981989934813E+02
    0.375236884430191421E+05    0.883918949539166388E+00   -0.101195324281832697E+02
    0.374464548303022457E+05    0.880991802654440770E+00   -0.100094431142765554E+02
    0.374191410490130947E+05    0.879527803806147701E+00   -0.966325011583490934E+01
    0.374682983054787983E+05    0.881967409557141480E+00   -0.954558164338890158E+01
    0.375313199552459846E+05    0.883674449237898507E+00   -0.917150816055577067E+01
    0.375109827676684072E+05    0.882942885487294826E+00   -0.913567519796938576E+01
    0.375157430041480766E+05    0.883186848006760838E+00   -0.912599855190756060E+01
    0.374146628478190250E+05    0.878795533754403779E+00   -0.911468740781096720E+01
    0.374369361556593067E+05    0.880259423068239677E+00   -0.832952230681692107E+01
    0.374407079742331771E+05    0.880503453996140162E+00   -0.822550890405584489E+01
    0.374169496317494122E+05    0.879039534347897500E+00   -0.821978000753646221E+01
    0.374887834605610842E+05    0.881478659549294830E+00   -0.819789609545925657E+01
    0.374653380302717123E+05    0.881234906833605836E+00   -0.813704295540619782E+01
    0.374710180112530579E+05    0.880990604071814509E+00   -0.800078347083573505E+01
    0.374194276308057379E+05    0.879039530846335571E+00   -0.792519126552576125E+01
    0.374296884436003456E+05    0.880015723341793010E+00   -0.786675081702327894E+01
    0.374730137614473642E+05    0.880746697093555575E+00   -0.786353941524061018E+01
    0.375276375949993017E+05    0.883918718294925188E+00   -0.783189504578010531E+01
    0.374806146394723401E+05    0.882455378785133582E+00   -0.776288521979099677E+01
    0.374356944433570970E+05    0.880015693660193721E+00   -0.776034926981235440E+01
    0.374501589380657679E+05    0.880014819640859369E+00   -0.773638500157809883E+01
    0.375003948072727362E+05    0.882943210113006582E+00   -0.771741439117511518E+01
    0.374367280587960850E+05    0.880259459404969857E+00   -0.771052165315017479E+01
    0.374812555214594104E+05    0.882455293872765556E+00   -0.767784707510958242E+01
    0.374346131894583232E+05    0.880259617009412132E+00   -0.767686362787687493E+01
    0.375054924425558784E+05    0.883187149063102250E+00   -0.764275599511871739E+01
    0.375048341010242802E+05    0.882210395640888878E+00   -0.761456513332016982E+01
    0.374707586914172934E+05    0.881478873259995410E+00   -0.760983591590797204E+01
    0.375182056374084859E+05    0.883186360123193959E+00   -0.760661303812789846E+01
    0.375262135499830620E+05    0.883918625322226537E+00   -0.746276149697200708E+01
    0.374900228807042367E+05    0.881967037204733351E+00   -0.745382998026152421E+01
    0.375281662821311184E+05    0.883674413593376729E+00   -0.744376530129627056E+01
    0.374537606966100357E+05    0.881235560368372250E+00   -0.737044385055807094E+01
    0.374770214479067072E+05    0.881235027937477211E+00   -0.736734152847473567E+01
    0.374710534450156483E+05    0.880746591047736782E+00   -0.735386188461100421E+01
    0.374776950755453363E+05    0.882211200733720835E+00   -0.728741297471566707E+01
    0.374329530967233950E+05    0.880015461483565686E+00   -0.725262785494278273E+01
    0.375079741928775620E+05    0.883187068483720195E+00   -0.721405937873122571E+01
    0.374829050979347230E+05    0.881478959719093402E+00   -0.721292830197454471E+01
    0.375215899159589535E+05    0.883674574044505334E+00   -0.720967526643594603E+01
    0.374635733647537490E+05    0.880747210960904137E+00   -0.715928685836095902E+01
    0.375108590265421517E+05    0.882942434335749926E+00   -0.714285441140909416E+01
    0.374339457114704201E+05    0.879527414458508683E+00   -0.712394881994830076E+01
    0.374916717675729960E+05    0.882698975816849196E+00   -0.710655496970071265E+01
    0.374814732743841596E+05    0.881967334924005364E+00   -0.709790839297472953E+01
    0.375048675851537482E+05    0.882943059744653147E+00   -0.708797628371289967E+01
    0.374524136026149499E+05    0.880258852394772640E+00   -0.703477040405529586E+01
    0.374989389186182161E+05    0.881966522095933736E+00   -0.702855340299391251E+01
    0.375116949618660583E+05    0.883186942237815353E+00   -0.702444222720463873E+01
    0.374765198627104692E+05    0.882211470471328862E+00   -0.702080984284904819E+01
    0.374531360413458970E+05    0.880014830787991253E+00   -0.701325923475605162E+01
    0.375265908069251091E+05    0.883674582953037024E+00   -0.698386998177593288E+01
    0.375205628597232280E+05    0.883674838007279528E+00   -0.697652309244067759E+01
    0.374762872506072963E+05    0.881478694841732358E+00   -0.694252039463956727E+01
    0.374627747264458012E+05    0.881479601210135022E+00   -0.693371999944299411E+01
    0.374885344000275436E+05    0.881478590086672287E+00   -0.692907590259578221E+01
    0.374316258669649615E+05    0.880015695410486520E+00   -0.688785331627274466E+01
